stock,sector
BEL,CPSE Index
COALINDIA,CPSE Index
COCHINSHIP,CPSE Index
NBCC,CPSE Index
NHPC,CPSE Index
NLCINDIA,CPSE Index
NTPC,CPSE Index
OIL,CPSE Index
ONGC,CPSE Index
POWERGRID,CPSE Index
SJVN,CPSE Index
ASHOKLEY,Auo Index
BAJAJ-AUTO,Auo Index
BHARATFORG,Auo Index
BOSCHLTD,Auo Index
EICHERMOT,Auo Index
EXIDEIND,Auo Index
HEROMOTOCO,Auo Index
M&M,Auo Index
MARUTI,Auo Index
MOTHERSON,Auo Index
SONACOMS,Auo Index
TIINDIA,Auo Index
TMPV,Auo Index
TVSMOTOR,Auo Index
UNOMINDA,Auo Index
AUBANK,Bank Index
AXISBANK,Bank Index
BANKBARODA,Bank Index
CANBK,Bank Index
FEDERALBNK,Bank Index
HDFCBANK,Bank Index
ICICIBANK,Bank Index
IDFCFIRSTB,Bank Index
INDUSINDBK,Bank Index
KOTAKBANK,Bank Index
PNB,Bank Index
SBIN,Bank Index
UNIONBANK,Bank Index
YESBANK,Bank Index
ADANIENSOL,Commodities Index
ADANIGREEN,Commodities Index
ADANIPOWER,Commodities Index
AMBUJACEM,Commodities Index
APLAPOLLO,Commodities Index
BPCL,Commodities Index
COALINDIA,Commodities Index
GRASIM,Commodities Index
HINDALCO,Commodities Index
HINDPETRO,Commodities Index
IOC,Commodities Index
JINDALSTEL,Commodities Index
JSWENERGY,Commodities Index
JSWSTEEL,Commodities Index
NHPC,Commodities Index
NMDC,Commodities Index
NTPC,Commodities Index
OIL,Commodities Index
ONGC,Commodities Index
PIDILITIND,Commodities Index
PIIND,Commodities Index
RELIANCE,Commodities Index
SHREECEM,Commodities Index
SRF,Commodities Index
TATAPOWER,Commodities Index
TATASTEEL,Commodities Index
TORNTPOWER,Commodities Index
ULTRACEMCO,Commodities Index
UPL,Commodities Index
VEDL,Commodities Index
AMBER,Consumer Durables Index
BATAINDIA,Consumer Durables Index
BLUESTARCO,Consumer Durables Index
CENTURYPLY,Consumer Durables Index
CERA,Consumer Durables Index
CROMPTON,Consumer Durables Index
DIXON,Consumer Durables Index
HAVELLS,Consumer Durables Index
KAJARIACER,Consumer Durables Index
KALYANKJIL,Consumer Durables Index
PGEL,Consumer Durables Index
TITAN,Consumer Durables Index
VGUARD,Consumer Durables Index
VOLTAS,Consumer Durables Index
WHIRLPOOL,Consumer Durables Index
ADANIPOWER,Consumption Index
APOLLOHOSP,Consumption Index
ASIANPAINT,Consumption Index
BAJAJ-AUTO,Consumption Index
BHARTIARTL,Consumption Index
BRITANNIA,Consumption Index
DIXON,Consumption Index
DLF,Consumption Index
DMART,Consumption Index
EICHERMOT,Consumption Index
ETERNAL,Consumption Index
GODREJCP,Consumption Index
HAVELLS,Consumption Index
HEROMOTOCO,Consumption Index
HINDUNILVR,Consumption Index
INDHOTEL,Consumption Index
INDIGO,Consumption Index
ITC,Consumption Index
M&M,Consumption Index
MARUTI,Consumption Index
MAXHEALTH,Consumption Index
NAUKRI,Consumption Index
NESTLEIND,Consumption Index
TATACONSUM,Consumption Index
TATAPOWER,Consumption Index
TITAN,Consumption Index
TRENT,Consumption Index
TVSMOTOR,Consumption Index
UNITDSPR,Consumption Index
VBL,Consumption Index
ABB,Energy Index
ADANIENSOL,Energy Index
ADANIGREEN,Energy Index
ADANIPOWER,Energy Index
AEGISLOG,Energy Index
ATGL,Energy Index
BHEL,Energy Index
BPCL,Energy Index
CASTROLIND,Energy Index
CESC,Energy Index
CGPOWER,Energy Index
COALINDIA,Energy Index
ENRIN,Energy Index
GAIL,Energy Index
GSPL,Energy Index
GUJGASLTD,Energy Index
GVT&D,Energy Index
HINDPETRO,Energy Index
IGL,Energy Index
INOXWIND,Energy Index
IOC,Energy Index
JPPOWER,Energy Index
JSWENERGY,Energy Index
MGL,Energy Index
NHPC,Energy Index
NLCINDIA,Energy Index
NTPC,Energy Index
OIL,Energy Index
ONGC,Energy Index
PETRONET,Energy Index
POWERGRID,Energy Index
POWERINDIA,Energy Index
RELIANCE,Energy Index
RPOWER,Energy Index
SIEMENS,Energy Index
SJVN,Energy Index
SUZLON,Energy Index
TATAPOWER,Energy Index
THERMAX,Energy Index
TORNTPOWER,Energy Index
BRITANNIA,FMCG index
COLPAL,FMCG index
DABUR,FMCG index
EMAMILTD,FMCG index
GODREJCP,FMCG index
HINDUNILVR,FMCG index
ITC,FMCG index
MARICO,FMCG index
NESTLEIND,FMCG index
PATANJALI,FMCG index
RADICO,FMCG index
TATACONSUM,FMCG index
UBL,FMCG index
UNITDSPR,FMCG index
VBL,FMCG index
AXISBANK,Financial Services Index
BAJAJFINSV,Financial Services Index
BAJFINANCE,Financial Services Index
BSE,Financial Services Index
CHOLAFIN,Financial Services Index
HDFCBANK,Financial Services Index
HDFCLIFE,Financial Services Index
ICICIBANK,Financial Services Index
ICICIGI,Financial Services Index
ICICIPRULI,Financial Services Index
JIOFIN,Financial Services Index
KOTAKBANK,Financial Services Index
LICHSGFIN,Financial Services Index
MUTHOOTFIN,Financial Services Index
PFC,Financial Services Index
RECLTD,Financial Services Index
SBICARD,Financial Services Index
SBILIFE,Financial Services Index
SBIN,Financial Services Index
SHRIRAMFIN,Financial Services Index
ABBOTINDIA,Healthcare Index
ALKEM,Healthcare Index
APOLLOHOSP,Healthcare Index
AUROPHARMA,Healthcare Index
BIOCON,Healthcare Index
CIPLA,Healthcare Index
DIVISLAB,Healthcare Index
DRREDDY,Healthcare Index
FORTIS,Healthcare Index
GLENMARK,Healthcare Index
IPCALAB,Healthcare Index
LAURUSLABS,Healthcare Index
LUPIN,Healthcare Index
MANKIND,Healthcare Index
MAXHEALTH,Healthcare Index
PPLPHARMA,Healthcare Index
SUNPHARMA,Healthcare Index
SYNGENE,Healthcare Index
TORNTPHARM,Healthcare Index
ZYDUSLIFE,Healthcare Index
COFORGE,IT Index
HCLTECH,IT Index
INFY,IT Index
LTM,IT Index
MPHASIS,IT Index
OFSS,IT Index
PERSISTENT,IT Index
TCS,IT Index
TECHM,IT Index
WIPRO,IT Index
ADANIGREEN,Infrastructure Index
ADANIPORTS,Infrastructure Index
AMBUJACEM,Infrastructure Index
APOLLOHOSP,Infrastructure Index
ASHOKLEY,Infrastructure Index
BHARATFORG,Infrastructure Index
BHARTIARTL,Infrastructure Index
BPCL,Infrastructure Index
CGPOWER,Infrastructure Index
CUMMINSIND,Infrastructure Index
DLF,Infrastructure Index
GAIL,Infrastructure Index
GODREJPROP,Infrastructure Index
GRASIM,Infrastructure Index
